name,url,bedrooms,bathrooms,floors,land_area,building_area,longitude,latitude,price
Dikontrakan rumah minimalis di perumahan  Chery  field,https://www.lamudi.co.id/dikontrakan-rumah-minimalis-di-perumahan-chery-fie-169693129410.html,2.0,1.0,1.0,90.0,60.0,107.63361,-6.98056,38000000.0
"Dikontrakan rumah 2 Lt di perumahan  Chery  field, Buahbatu",https://www.lamudi.co.id/dikontrakan-rumah-2-lt-di-perumahan-chery-field-bu-169693131488.html,3.0,2.0,1.0,72.0,78.0,107.63361,-6.98056,52000000.0
"Dilontrakan Rumah Minimalis di Perumahan Pesona Ciganitri,Bdg.",https://www.lamudi.co.id/dilontrakan-rumah-minimalis-di-perumahan-pesona-ci-170192071344.html,2.0,1.0,1.0,72.0,42.0,107.63361,-6.98056,25000000.0
"Disewakan Rumah di Tanjungsari - Antapani, Bandung",https://www.lamudi.co.id/disewakan-rumah-di-tanjungsari-antapani-bandung-16987391647.html,3.0,2.0,1.0,135.0,,107.66194,-6.92306,50000000.0
Sewa Rumah di Mekarwangi,https://www.lamudi.co.id/sewa-rumah-di-mekarwangi-170052666742.html,2.0,1.0,1.0,120.0,75.0,107.61056,-6.95722,42500000.0
Sewa Rumah Nyaman Model Belanda Sayap Riau Bandung ,https://www.lamudi.co.id/sewa-rumah-nyaman-model-belanda-sayap-riau-bandung-169301335458.html,4.0,3.0,1.0,525.0,300.0,107.62606,-6.91462,350000000.0
Rumah nyaman Full Furnish di Cluster Setra Duta Bandung,https://www.lamudi.co.id/rumah-nyaman-full-furnish-di-cluster-setra-duta-ba-169382206322.html,4.0,4.0,1.0,144.0,200.0,107.6212817,-6.9548746,79000000.0
DISEWA SHERWOOD – Taman Kopo Indah V,https://www.lamudi.co.id/disewa-sherwood-taman-kopo-indah-v-169518735346.html,2.0,1.0,1.0,96.0,40.0,107.38028,-6.82167,35000000.0
"SEWA RUMAH SAYAP PAJAJARAN, BANDUNG",https://www.lamudi.co.id/sewa-rumah-sayap-pajajaran-bandung-169994522897.html,3.0,2.0,1.0,154.0,120.0,107.59328680089,-6.9080745786367,50000000.0
Disewakan cepat rumah di jl Semarang Antapani.,https://www.lamudi.co.id/disewakan-cepat-rumah-di-jl-semarang-antapani-169720859368.html,6.0,2.0,1.0,100.0,100.0,107.66194,-6.92306,45000000.0
"Disewakan Rumah 2 Lantai di Taman Holis , Bisa Nego Tipis",https://www.lamudi.co.id/disewakan-rumah-2-lantai-di-taman-holis-bisa-nego-168622853645.html,3.0,2.0,2.0,144.0,200.0,107.6212817,-6.9548746,55000000.0
Rumah disewakan di jalan Batununggal indah,https://www.lamudi.co.id/rumah-disewakan-di-jalan-batununggal-indah-169881337753.html,4.0,2.0,1.0,175.0,165.0,107.64083,-6.93472,70000000.0
Rumah 2 lantai Wangsakerta kbp,https://www.lamudi.co.id/rumah-2-lantai-wangsakerta-kbp-169693400424.html,3.0,2.0,2.0,162.0,130.0,107.467209,-6.844347,70000000.0
Disewa Rumah Taman Rahayu Kopo  Bandung Jawa Barat,https://www.lamudi.co.id/disewa-rumah-taman-rahayu-kopo-bandung-jawa-barat-168906574190.html,2.0,1.0,1.0,84.0,60.0,107.6212817,-6.9548746,30000000.0
DISEWAKAN RUMAH DI TKI 5,https://www.lamudi.co.id/disewakan-rumah-di-tki-5-169512559491.html,2.0,1.0,1.0,70.0,112.0,106.904854,-6.653733,40000000.0
For Rent Rumah Minimalis Modern di Sayap Pasirkaliki Pajajaran,https://www.lamudi.co.id/for-rent-rumah-minimalis-modern-di-sayap-pasirkali-169341036363.html,4.0,3.0,1.0,163.0,163.0,107.60583,-6.90833,50000000.0
Disewakan Rumah - Komplek Kurdi,https://www.lamudi.co.id/disewakan-rumah-komplek-kurdi-170091696767.html,5.0,5.0,1.0,126.0,186.0,107.60785375366,-6.9451909143633,65000000.0
"Rumah Sewa 2 lantai, di gang Antapani",https://www.lamudi.co.id/rumah-sewa-2-lantai-di-gang-antapani-170360637318.html,2.0,,1.0,60.0,40.0,107.6528,-6.9068,20000000.0
Rumah Komp. BUMI PANYAWANGAN Cileunyi Bandung,https://www.lamudi.co.id/rumah-komp-bumi-panyawangan-cileunyi-bandung-170313137139.html,2.0,1.0,1.0,105.0,45.0,107.75278,-6.93889,25000000.0
HOT rumah 3LT Moh Yunus Sayap PAJAJARAN,https://www.lamudi.co.id/hot-rumah-3lt-moh-yunus-sayap-pajajaran-17036486569.html,4.0,4.0,1.0,140.0,300.0,107.59941000226,-6.9096837781579,95000000.0
